headword_iast	headword_slp1	entry_id	page	body
aṅgulīyaka	aNgulIyaka	85	004-a	{#aNgulIyaka#}¦ {%n.%} (ab {#aNgulIya#} - cf. {#aNgurIya#} - s. {#ka#}) annulus. AM.
aṅgh	aNG	86	004-a	{#aNG#}¦ 1. {%A.%} ({#gatyAkzepe#} {%K.%} {#gatO nindAramBajavezu#} {%V.%}) ire, despicere, incipere, properare. Haec radix, quam grammatici scribunt {#aG#} (v. gr. 110^{%a%}).), primitiva forma radicis {#aMh#} q. v. esse videtur.
aṅghri	aNGri	87	004-a	{#aNGri#}¦ {%m.%} (r. {#aNG#} s. {#ri#}) pes, arboris radix. HIT. 123.8. (cf. {#aMhri#}).
acala	acala	88	004-a	{#acala#}¦ ({%KARM.%} ex {#a#} priv. et {#cala#} se movens, a r. {#cal#} s. {#a#}). 1) immobilis, immotus. BH. 2.53. 2) {%m.%} mons.
acira	acira	89	004-a	{#acira#}¦ ({%KARM.%} ex {#a#} priv. et {#cira#} longus) 1) {%Adj.%} brevis: {#acireRa kAlena#} brevi tempore. BR. 3.7. 2) {%Adv.%} cum acc. instr. et ablat. terminatione: {#aciram, acireRa, acirAt#}, brevi, mox, cito. BR. 1.22. DR. 5.20. N. 13.45. 20.1.
aciraprabhā	acirapraBA	90	004-a	{#acirapraBA#}¦ {%f.%} (nonlongum splendorem habens, {%BAH.%} ex {#acira#} et {#praBA#} splendor) fulgur. UR. 78.15.
accha	acCa	91	004-a	{#acCa#}¦ clarus, translucidus. AM.
acyuta	acyuta	92	004-a	{#acyuta#}¦ (non lapsus, v. {#cyu#}) 1) {%Adj.%} firmus, trop. excelsus, divinus, augustus. M. 20. 2) {%m.%} nomen Vischnûs et Krischni. AM.
aj	aj	93	004-a	"{#aj#}¦ 1. {%P.%} ({#gatO#} {%K.%} {#kzepe gate#} {%V.%}) ire, conjicere (gr. <lang n=""greek"">ἄγω</lang>, lat. {%ago%})."
aja	aja	94	004-a	"1. {#aja#}¦ {%m.%} (ut videtur a r. {#aj#} s. {#a#}) caper (lith. {%oźy-s%}, russ. <lang n=""Russian"">козèлъ</lang> v. {#ajA#})."
aja	aja	95	004-a	2. {#aja#}¦ {%m.%} ({%KARM.%} ex {#a#} priv. et {#ja#} natus q. v.) 1) non natus. 2) nomen geniorum ordinis. SU. 3.5.
ajagara	ajagara	96	004-a	{#ajagara#}¦ {%m.%} (ex {#aja#} {%m.%} caper et {#gara#}, a r. {#gF#}, vorans) magnus serpens, secundum Wils. boa constrictor.
ajanya	ajanya	97	004-a	{#ajanya#}¦ {%n.%} (ex {#a#} priv. et {#janya#}, a r. {#jan#} s. {#ya#}, gignendus) miraculum, portentum, prodigium.
ajasram	ajasram	98	004-a	{#ajasram#}¦ {%Adv. cum. acc. term.%} aeterne, in perpetuum, semper. Ut videtur ex {#a#} priv. et {#jasra#}, quod separatim non invenitur, a r. obsol. {#jas#} occidere, s. {#a#}.
ajā	ajA	99	004-a	"{#ajA#}¦ {%f.%} ({%fem.%} <lang n=""greek"">τᴕ̃</lang> {#aja#}) capra (gr. <lang n=""greek"">ἌΙΓ</lang>, lith. {%oszkà%}, russ. <lang n=""Russian"">козà</lang> praefixo <lang n=""Russian"">к</lang> sicut in {%kostj%} = {#asTi#} <lang n=""greek"">ὀστέον</lang>)."
ajātavyañjanākṛti	ajAtavyaYjanAkfti	100	004-a	{#ajAtavyaYjanAkfti#}¦ ({%BAH.%} ex {#ajAtavyaYjana#} non natam [Page004-b+ 37] barbam habens-{%BAH.%} ex {#ajAta#} et {#vyaYjana#} {%n.%} barba - et {#Akfti#} {%f.%} forma) imberbis (ad litt. non natam barbam habentis formâ praeditus). BR. 1.28.
ajātaśatru	ajAtaSatru	101	004-b	{#ajAtaSatru#}¦ {%m.%} (ex {#ajAta#} non natus et {#Satru#} hostis) non natos hostis habens, i. e. liber ab hostibus, nomen Yudhischthiri. A. 4.4.
