headword_iast	headword_slp1	entry_id	page	body
akṣarya	akzarya	74	1-282-c	{#akzarya#}¦, {#˚ryaM#} {#revat#} Name eines <is>Sāman</is> <ls>ĀRṢ. BR.</ls>
akṣaśīla	akzaSIla	75	1-282-c	{#akzaSIla#}¦ <lex>Adj.</lex> {%dem Würfelspiel ergeben%} <ls>ĀPAST.</ls>
akṣasaṅgam	akzasaNgam	76	1-282-c	{#akzasaNga/m#}¦ <lex>Adv.</lex> {%so dass die Achse hängen bleibt%} <ls>MAITR. S. 3,9,2</ls>.
akṣasūtra	akzasUtra	77	1-282-c	"{#akzasUtra#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#A#}) {%mit einem Rosenkranz versehen%} <ls>HEMĀDRI 2,a,105,7</ls>. <ls n=""HEMĀDRI 2, a, 105,"">16</ls>."
akṣasūtraka	akzasUtraka	78	1-282-c	{#akzasUtraka#}¦ <lex>n.</lex> = {#akzasUtra#} <ls>HEMĀDRI 1,285,6</ls>.
akṣānta	akzAnta	79	1-282-c	{#akzAnta#}¦ <lex>Adj.</lex> {%nicht geduldet%} <ls>NAIṢ. 6,18</ls>.
akṣāvalī	akzAvalI	80	1-282-c	{#akzAvalI#}¦ <lex>f.</lex> {%Rosenkranz%} <ls>KĀD. 166,22</ls>.
akṣit	akzit	81	1-282-c	{#akzi/t#}¦ <lex>Adj.</lex> {%unvergänglich, nicht verloren%} <ls>MAITR. S. 1,8,6</ls>.
akṣiduḥkha	akziduHKa	82	1-282-c	{#akziduHKa#}¦ <lex>n.</lex> {%Augenübel%} <ls>TAITT. ĀR. 1,4,1</ls>.
akṣinikāṇam	akzinikARam	83	1-282-c	{#*akzinikARam#}¦ <ab>Absol.</ab> {%mit zugekniffenen Augen%}.
akṣibandha	akzibanDa	84	1-282-c	{#akzibanDa#}¦ <lex>m.</lex> {%Verblendung%} <ls>NAIṢ. 8,31</ls>.
akṣirogavant	akzirogavant	85	1-282-c	{#akzirogavant#}¦ <lex>Adj.</lex> {%augenkrank%} <ls>HEMĀDRI 1,745,7</ls>.
akṣilakṣī	akzilakzI	86	1-282-c	{#akzilakzI#}¦ <lex>Adv.</lex> mit {#kar#} {%zum Ziel der Augen machen, hinblicken auf%} <ls>NAIṢ. 2,107</ls>.
akṣība	akzIba	87	1-282-c	{#akzIba#}¦ 2〉 lies <lex>m.</lex> statt <lex>f.</lex>
akṣu	akzu	88	1-282-c	{#a/kzu#}¦ ist = {#a/kza#} {%Wagenachse%}.
akṣetrajña	akzetrajYa	89	1-282-c	{#a/kzetrajYa#}¦ <lex>Adj.</lex> {%nicht ortskundig%} <ls>ŚAT. BR. 13,2,3,2</ls>.
akṣetratara	akzetratara	90	1-282-c	{#akzetratara#}¦ <lex>n.</lex> {%eine zum Bebauen%} oder {%Bewohnen sehr ungeeignete Gegend%}.
akṣema	akzema	91	1-282-c	"{#akzema#}¦ <lex>n.</lex> {%Leid%} <ls>R. GORR. 2,6,14</ls>. <ls n=""R. GORR. 2,6,"">17</ls>."
akṣodhuka	akzoDuka	92	1-282-c	{#a/kzoDuka#}¦ <lex>Adj.</lex> {%nicht hungernd%} <ls>MAITR. S. 1,6,5</ls>.
akṣobhya	akzoBya	93	1-282-c	{#akzoBya#}¦ 3〉 <lex>f.</lex> {#A#} <ab>N. pr.</ab> einer <is>Yoginī</is> <ls>HEMĀDRI 2,a,93,2</ls>.
akṣṇayākṛta	akzRayAkfta	94	1-282-c	{#akzRayA/kfta#}¦ <lex>Adj.</lex> {%verkehrt gethan%} <ls>ŚAT. BR. 14,4,3,26</ls>.
akhaṇḍitājña	aKaRqitAjYa	95	1-282-c	{#aKaRqitAjYa#}¦ <lex>Adj.</lex> {%dessen Befehle nicht verletzt werden%}. <ab>Nom. abstr.</ab> {#˚tva#} <lex>n.</lex> <ls>RĀJAT. 6,229</ls>.
akharva	aKarva	96	1-282-c	{#aKarva#}¦ 1〉 auch {%nicht klein, gross, bedeutend%} <ls>DAŚAK. 4,15</ls>. <ls>NAIṢ. 2,21</ls>.
akharvan	aKarvan	97	1-282-c	{#aKarvan#}¦ (!) <lex>Adj.</lex> {%unverstümmelt%} <ls>HEMĀDRI 2,a,75,19</ls>.
agaṇayant	agaRayant	98	1-282-c	{#agaRayant#}¦ <lex>Adj.</lex> {%nicht achtend auf%} (<ab>Acc.</ab>) <ls>R. 4,10,4</ls>.
agaṇitapratiyāta	agaRitapratiyAta	99	1-282-c	{#agaRitapratiyAta#}¦ <lex>Adj.</lex> {%heimgekehrt, weil nicht beachtet,%} <ls>ŚIŚ. 10,20</ls>.
agati	agati	100	1-283-a	<hom>2.</hom> {#agati#}¦ <lex>Adj.</lex> 1〉 {%nicht gehend%}. <ab>Nom. abstr.</ab> {#˚tA#} <lex>f.</lex> {%Stillstand%} <ls>MUDRĀR. 151,5 (220,7)</ls>. — 2〉 {%hülflos, unglücklich%} <ls>DAŚAK. 12,15</ls>.
agadaveda	agadaveda	101	1-283-a	{#agadaveda#}¦ <lex>m.</lex> {%Heilkunde%} <ls>CARAKA 6,17</ls>.
agadaṃkāra	agadaMkAra	102	1-283-a	{#agadaMkAra#}¦ <ls>NAIṢ. 4,116</ls>.
agandhasevin	aganDasevin	103	1-283-a	{#aganDasevin#}¦ <lex>Adj.</lex> {%nicht den Wohlgerüchen ergeben%} <ls>ĀPAST.</ls>
agamyagā	agamyagA	104	1-283-a	{#agamyagA#}¦ <lex>Adj.</lex> <lex>f.</lex> {%verbotenen Umgang mit einem Manne pflegend%} <ls>VARĀH. BṚH. 24 (22), 5</ls>.
agarbha	agarBa	105	1-283-a	{#agarBa#}¦ <lex>Adj.</lex> {%nicht in einem andern Baume wurzelnd%} <ls>KĀTY. ŚR. 4,7,23</ls>.
agasti	agasti	106	1-283-a	{#agasti#}¦ 3〉 lies {%grandiflora%}.
agastyāśrama	agastyASrama	107	1-283-a	{#agastyASrama#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines <is>Tīrtha</is> <ls>VIṢṆUS. 85,29</ls>.
agādha	agADa	108	1-283-a	{#agADa#}¦ 1〉 {#˚ruDira#} {%eine grosse Menge Blut%} <ls>DAŚAK. 5,23</ls>. <ab>Nom. abstr.</ab> {#˚tA#} <lex>f.</lex> <ls>NAIṢ. 2,31</ls>.
agāra	agAra	109	1-283-a	{#agAra#}¦, {#kroDAgAraM pra-viS#} so <ab>v. a.</ab> {%in Zorn gerathen%} <ls>R. GORR. 2,8,18</ls>.
aguñjin	aguYjin	110	1-283-a	{#aguYjin#}¦ <lex>Adj.</lex> {%keinen brummenden Laut von sich gebend%} <ls>BĀLAR. 151,5</ls>.
aguru	aguru	111	1-283-a	{#aguru#}¦ 3〉 <lex>m.</lex> {%kein Lehrer%} <ls>ĀPAST.</ls>
aguruka	aguruka	112	1-283-a	{#aguruka#}¦ <lex>n.</lex> = {#aguru#} 2〉a〉 <ls>HEMĀDRI 1,423,13</ls>.
agurutalpa	agurutalpa	113	1-283-a	{#agurutalpa#}¦ <lex>n.</lex> {%kein Ehebruch mit der Frau eines Lehrers%} <ls>ĀPAST.</ls>
agṛha	agfha	114	1-283-a	{#agfha#}¦ <lex>Adj.</lex> {%hauslos%}. <ab>Nom. abstr.</ab> {#˚tA#} <lex>f.</lex> <ls>TĀṆḌYA-BR. 10,5,16</ls>.
agṛhapati	agfhapati	115	1-283-a	{#*agfhapati#} und {#*˚ka#}¦ <is>gaṇa</is> {#cArvAdi#}.
agṛhapatika	agfhapatika	115.1	1-283-a	{{Lbody=115}}
agṛhīta	agfhIta	116	1-283-a	"{#a/gfhIta#}¦ <lex>Adj.</lex> {%nicht geschöpft%} <ls>ŚAT. BR. 3,9,2,8</ls>. <ls n=""ŚAT. BR."">4,2,3,3</ls>. <ls n=""ŚAT. BR. 4,2,3,"">5</ls>."
agṛhyamānakāraṇa	agfhyamAnakAraRa	117	1-283-a	{#agfhyamAnakAraRa#}¦ (!), {#Aryasamaya#} <ls>ĀPAST.</ls>
ago	ago	118	1-283-a	{#ago#}¦ <lex>f.</lex> {%keine Kuh%} <ls>PĀR. GṚHY. 3,11,1</ls>.
