headword_iast	headword_slp1	entry_id	page	body
śravāyya	SravAyya	25169	453-2	{#SravA/yya#}¦ preislich.
śraviṣṭhā	SravizWA	25170	453-2	{#Sra/vizWA#}¦ {%f. N. eines Mondhauses.%}
śravya	Sravya	25171	453-2	{#Sravya#}¦ = {#SravaRIya#}.
śrā	SrA	25172	453-2	{#SrA#},¦ {%p. p.%} {#SrAta/#} {%u.%} {#Sfta/#} {%(s. bes.)%} gekocht, ge- braten. {%Caus.%} {#Srapayati (˚te)#} kochen, braten.
śrāddha	SrAdDa	25173	453-2	{#SrAdDa#},¦ {%f.%} {#I#} gläubig; {%n.%} Totenmahl {%(r.).%}
śrāddhakarman	SrAdDakarman	25174	453-2	{#SrAdDakarman#}¦ {%n. = vor. n.%}
śrāddhadeva	SrAdDadeva	25175	453-2	"{#SrAdDadeva#}¦ {%m.%} der Gott des Totenmahls {%(Manu 0. Yama Vaivasvata, auch Vivasvant%} <lbinfo n=""7""/> {%u. a.).%}"
śrāddhabhuj	SrAdDaBuj	25176	453-2	"{#SrAdDaBuj#}¦ der an einem Totenmahle teilgenommen <lbinfo n=""8""/> hat."
śrāddhika	SrAdDika	25177	453-2	{#SrAdDika#}¦ auf ein Totenmahl bezüglich.
śrānta	SrAnta	25178	453-2	{#SrAnta/#}¦ {%(s.%} {#Sram)#} {%n.%} Ermüdung, Anstrengung, Kasteiung.
śrānti	SrAnti	25179	453-2	{#SrAnti#}¦ {%f.%} Ermüdung.
śrāpin	SrApin	25180	453-2	{#SrApin#}¦ (—˚) kochend.
śrāya	SrAya	25181	453-2	{#SrAya/#}¦ versehen mit {%(Loc.).%}
śrāva	SrAva	25182	453-2	{#SrAva#}¦ {%m. Mannsname.%}
śrāvaka	SrAvaka	25183	453-2	{#SrAvaka#}¦ horchend auf {#(—˚)#}. {%m.%} Hörer, Schüler.
śrāvaṇa	SrAvaRa	25184	453-2	1. {#SrAvaRa#}¦ mit dem ohre vernommen; {%n.%} as Hörenlassen, Verkünden.
śrāvaṇa	SrAvaRa	25185	453-2	2. {#SrAvaRa#},¦ {%f.%} {#I#} zum Mondhause Śravaṇa gehörig. {%m.%} ein best. Monat, {%f.%} {#I#} der Vollmondstag in dems.
